"ITEM_SEQ","ITEM_NAME","ENTP_SEQ","ENTP_NAME","CHARTN","ITEM_IMAGE","PRINT_FRONT","PRINT_BACK","DRUG_SHAPE","COLOR_CLASS1","COLOR_CLASS2","LINE_FRONT","LINE_BACK","LENG_LONG","LENG_SHORT","THICK","IMG_REGIST_TS","CLASS_NO","ETC_OTC_CODE","ITEM_PERMIT_DATE","SHAPE_CODE","MARK_CODE_FRONT_ANAL","MARK_CODE_BACK_ANAL","MARK_CODE_FRONT_IMG","MARK_CODE_BACK_IMG","ITEM_ENG_NAME","EDI_CODE"
"202100172","비아틴정50밀리그램(시타글립틴염산염수화물)","19910001","한국유나이티드제약(주)","주황색의 양면이 볼록한 원형의 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NTofcj34bb","S50","UT","원형","분홍","","","","8.0","8.0","3.3","2021-02-03","03960","전문의약품","2021-01-08","010201","","","","","Viatin Tabs. 50mg",""
"202100240","제피토정10/10밀리그램","19640001","에이치케이이노엔(주)","흰색의 타원형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NXVKYFvlAb","ZPT 10","","타원형","하양","","","","12.8","5.7","4.3","2021-03-15","02180","전문의약품","2021-01-08","010201","","","","","Zepitor Tab. 10/10mg","640007710"
"202101273","대웅바이오아토르바스타틴정80밀리그램(아토르바스타틴칼슘삼수화물)","19830008","대웅바이오(주)","흰색의 원형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NXVKYFvlLH","80","DWB","원형","하양","","","","12.2","12.2","6.2","2021-03-17","02180","전문의약품","2021-02-15","010201","","","","","DAEWOONGBIO ATORVASTATIN TAB. 80mg","694003400"
"202100229","아토이브정10/20밀리그램","19980005","화일약품(주)","흰색의 타원형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Na4Vf6KH0P","HIP2","","타원형","하양","","","","14.6","6.5","4.9","2021-03-17","02180","전문의약품","2021-01-08","010201","","","","","Atoeve Tab. 10/20mg","684502060"
"202100101","올바스타정20/10밀리그램","19710009","대우제약(주)","흰색 또는 미황색의 원형 필름코팅정제","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NYH_iJCk6w","마크20/10","","원형","하양","","","","10.2","10.2","5.3","2021-03-31","02190","전문의약품","2021-01-06","010201","dw,cW,dN,MP,NP","","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147938640332900133","","Olvastar Tab. 20/10mg","649605920"
"202100100","올바스타정20/5밀리그램","19710009","대우제약(주)","흰색 또는 미황색의 원형 필름코팅정제","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NYH_iJCk7I","마크20/5","","원형","하양","","","","10.1","10.1","5.0","2021-03-31","02190","전문의약품","2021-01-06","010201","dw,cW,dN,MP,NP","","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147938640332900133","","Olvastar Tab. 20/5mg","649605930"
"202102039","아로나민골드프리미엄정","19540006","일동제약(주)","적색의 타원형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NYH_iJCkB7","Aro-P","Aro-P","타원형","갈색","","","","16.1","8.7","6.5","2021-03-31","03160","일반의약품","2021-03-04","010201","","","","","Aronamin Gold Premium tablet",""
"202101397","아토미브정10/10밀리그램","19540006","일동제약(주)","흰색의 타원형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NYH_iJCkBT","ID","11","타원형","하양","","","","10.1","5.3","4.1","2021-03-31","02180","전문의약품","2021-02-18","010201","","","","","Atomib Tablet 10/10mg","642906530"
"202101396","아토미브정10/20밀리그램","19540006","일동제약(주)","흰색의 타원형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NYH_iJCkBo","ID","12","타원형","하양","","","","12.1","6.0","4.3","2021-03-31","02180","전문의약품","2021-02-18","010201","","","","","Atomibe tablet 10/20mg","642906520"
"202101395","아토미브정10/40밀리그램","19540006","일동제약(주)","흰색의 타원형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NYH_iJCkC8","ID","14","타원형","하양","","","","14.2","6.5","4.7","2021-03-31","02180","전문의약품","2021-02-18","010201","","","","","Atomibe tablet 10/40mg","642906540"
"202101156","에소카보정20/600밀리그램","19760002","경동제약(주)","노란색의 장방형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NYH_iJCkD8","KD","EC2","타원형","주황","","","","15.4","7.9","5.9","2021-03-31","02320","전문의약품","2021-02-05","010201","","","","","Esocarbo tab. 20/600mg","648104610"
"202101157","에소카보정40/600밀리그램","19760002","경동제약(주)","분홍색의 장방형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NYH_iJCkDU","KD","EC4","타원형","분홍","","","","15.4","7.8","6.0","2021-03-31","02320","전문의약품","2021-02-05","010201","","","","","KyungDong pharm. co., Ltd","648104620"
"202101556","아토켓정10/10밀리그램","19660004","케이엠에스제약(주)","흰색 또는 미백색의 장방형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NYH_iJCkHA","AK11","","타원형","하양","","","","13.0","5.3","4.5","2021-03-31","02180","전문의약품","2021-02-18","010201","","","","","atoket tablet. 10/10mg","654702180"
"202100176","아토티브정10/40밀리그램","19860001","한국휴텍스제약(주)","흰색의 타원형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NXVKYFvlOf","AT14","","타원형","하양","","","","17.0","7.6","6.3","2021-03-18","02180","전문의약품","2021-01-08","010201","","","","","Atotibe Tab. 10/40mg","649105180"
"202100175","아토티브정10/20밀리그램","19860001","한국휴텍스제약(주)","흰색의 타원형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NXVKYFvlPD","AT12","","타원형","하양","","","","14.6","6.4","5.0","2021-03-18","02180","전문의약품","2021-01-08","010201","","","","","Atotibe Tab. 10/20mg","649105170"
"202100174","아토티브정10/10밀리그램","19860001","한국휴텍스제약(주)","흰색의 타원형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NXVKYFvlPV","AT11","","타원형","하양","","","","12.8","5.7","4.3","2021-03-18","02180","전문의약품","2021-01-08","010201","","","","","Atotibe Tab. 10/10mg","649105140"
"202100179","아토에젯정10/10밀리그램","19950015","한국프라임제약(주)","흰색의 타원형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NXVKYFvlbx","AE11","","타원형","하양","","","","12.7","5.7","4.2","2021-03-18","02180","전문의약품","2021-01-08","010201","","","","","Atoezet Tab. 10/10mg","663608350"
"202100178","아토에젯정10/20밀리그램","19950015","한국프라임제약(주)","흰색의 타원형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NXVKYFvlcD","AE12","","타원형","하양","","","","14.6","6.4","5.0","2021-03-18","02180","전문의약품","2021-01-08","010201","","","","","Atoezet Tab. 10/20mg","663608360"
"202100216","아토로우플러스정10/20밀리그램","19570010","삼천당제약(주)","흰색의 타원형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NXVKYFvleB","SC12","","타원형","하양","","","","14.6","6.5","4.9","2021-03-18","02180","전문의약품","2021-01-08","010201","","","","","Atolow plus tab. 10/20mg","651205700"
"202100227","아토이브정10/10밀리그램","19980005","화일약품(주)","흰색의 타원형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NXVKYFvlqP","HIP1","","타원형","하양","","","","12.7","5.7","4.3","2021-03-18","02180","전문의약품","2021-01-08","010201","","","","","Atoeve Tab. 10/10mg","684502040"
"202100192","유토젯정10/40mg","19550003","(주)유유제약","흰색의 타원형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NXVKYFvluv","YY4","","타원형","하양","","","","17.0","7.6","6.3","2021-03-18","02180","전문의약품","2021-01-08","010201","","","","","Yutozet Tab 10/40mg","644503270"
"202100212","셀토젯정10/10밀리그램","19710005","(주)셀트리온제약","흰색의 타원형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NXVKYFvlO5","CZ 10","","타원형","하양","","","","12.7","5.7","4.3","2021-03-19","02180","전문의약품","2021-01-08","010201","","","","","Celltozet Tab. 10/10mg","693903400"
"202100201","아제티브정10/10밀리그램","19580003","알보젠코리아(주)","흰색의 타원형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NXVKYFvlZL","ATB10","","타원형","하양","","","","12.8","5.7","4.3","2021-03-19","02180","전문의약품","2021-01-08","010201","","","","","Azetibe Tablet 10/10mg","652606960"
"202100203","아제티브정10/40밀리그램","19580003","알보젠코리아(주)","흰색의 타원형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NXVKYFvlZd","ATB40","","타원형","하양","","","","17.0","7.6","6.1","2021-03-19","02180","전문의약품","2021-01-08","010201","","","","","Azetibe Tablet 10/40mg","652606980"
"202100190","바스타젯정10/20밀리그램","19550001","이연제약(주)","흰색 타원형의 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NVa1O6Yl0H","RYEA12","","타원형","하양","","","","14.6","6.5","4.9","2021-02-23","02180","전문의약품","2021-01-08","010201","","","","","Vastazet Tab 10/20mg","658604610"
"202100183","아리토린정10/10밀리그램","19580012","하나제약(주)","흰색의 타원형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NWi5s9KwX8","HN1","","타원형","하양","","","","12.8","5.7","4.3","2021-03-11","02180","전문의약품","2021-01-08","010201","","","","","Aritorine Tab. 10/10mg","657807460"
"202101648","아토엠젯정10/40밀리그램","19550012","(주)마더스제약","흰색의 장방형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NYH_iJCj-h","MTS","40","타원형","하양","","","","16.7","6.5","5.4","2021-03-30","02180","전문의약품","2021-02-18","010201","","","","","ATOEMZET Tab. 10/40mg","622804510"
"202100592","부광메티마졸정2.5밀리그램","19630001","부광약품(주)","흰색의 원형 정제","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NUmCC8oTJ7","M25","분할선","원형","하양","","","-","5.6","5.6","2.3","2021-02-10","02430","전문의약품","2021-01-20","010101","","","","","Methimazole Bukwang Tablet 2.5mg",""
"202100194","유토젯정10/20mg","19550003","(주)유유제약","흰색의 타원형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NUguTYAQ2h","YY2","","타원형","하양","","","","14.6","6.4","4.9","2021-02-10","02180","전문의약품","2021-01-08","010201","","","","","Yutozet Tab 10/20mg","644503260"
"202101789","메가브로멜정(브로멜라인)","20204683","(주)엘앤씨바이오","분홍색의 원형 장용성 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NXVKYFvlaB","LNC","B","원형","분홍","","","","9.3","9.3","5.4","2021-03-15","03950","일반의약품","2021-02-23","010602","","","","","Megabromel Tablet","060500060"
"202100189","바스타젯정10/10밀리그램","19550001","이연제약(주)","흰색 타원형의 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NXVKYFvldd","RYEA11","","타원형","하양","","","","12.8","5.7","4.3","2021-03-15","02180","전문의약품","2021-01-08","010201","","","","","Vastazet Tab 10/10mg","658604600"
"202101155","에소피드정40/600밀리그램","19560004","(주)유한양행","분홍색의 장방형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NXqH06PVL7","YH","SC40","타원형","분홍","","","","15.4","7.8","6.0","2021-03-26","02320","전문의약품","2021-02-05","010201","","","","","Esopid Tablet 40/600mg","642105680"
"202101154","에소피드정20/600밀리그램","19560004","(주)유한양행","노란색의 장방형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NXqH06PVLq","YH","SC20","타원형","주황","","","","15.4","7.8","5.8","2021-03-26","02320","전문의약품","2021-02-05","010201","","","","","Esopid Tablet 20/600mg","642105670"
"202101863","유바로정15밀리그램(리바록사반)","19550003","(주)유유제약","빨간색의 원형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NXqH06PVOp","YY","15","원형","빨강","","","","5.8","5.8","2.5","2021-03-26","03330","전문의약품","2021-02-24","010201","","","","","YUVARO Tablet 15mg","644503280"
"202101864","유바로정10밀리그램(리바록사반)","19550003","(주)유유제약","분홍색의 원형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NXqH06PVP9","YY","10","원형","분홍","","","","5.8","5.8","2.3","2021-03-26","03330","전문의약품","2021-02-24","010201","","","","","YUVARO Tablet 10mg","644503290"
